Date,MaxT,MeanT,MinT,RH,AH,ph,sh,pm25,pm10,o3,no2,so2,co,Rain,V10mucomponentofwind_ind,V10mvcomponentofwind_ind,V2mdewpointtemperature_k,V2mtemperature_k,VLeafareaindexHIGH_ind,VLeafareaindexLOW_ind,VSurfacepressure_pa,VTotalprecipitation_m,WindSpeed_msminus1,WindDirection_deg,VaporPressure_kpa,SaturatedVaporPressure_kpa,AbsoluteHumidity_gmminus3,RelativeHumidity1_perc,RelativeHumidity2_perc,Cardiovascular disease,Chronic respiratory disease,Congenital Abnormalities,Diabetes mellitus,Digestive disease,Endocrine disorders,Factors influencing health status and contact with health services,Genitourinary disorders,Ill-defined diseases,Ill-defined injuries/accidents,Infectious and Parasitic Diseases,Intentional injuries,Malignant neoplasms,Maternal conditions,Mental disorders,Musculoskeletal disease,Neurological and sense disorders,Not Categorised,Nutritional deficiencies,Oral Diseases,Other neoplasms,Perinatal conditions,Respiratory Infection,Skin diseases,Unintentional injuries
2006-04-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,713.0,483.0,13.0,56.0,879.0,122.0,103.0,419.0,2050.0,47.0,840.0,123.0,102.0,31.0,29.0,589.0,621.0,124.0,22.0,48.0,8.0,70.0,1726.0,543.0,3095.0
2006-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,648.0,553.0,13.0,69.0,915.0,125.0,118.0,495.0,2099.0,39.0,917.0,139.0,96.0,27.0,38.0,640.0,602.0,122.0,27.0,62.0,13.0,134.0,1833.0,543.0,3007.0
2006-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,699.0,520.0,17.0,80.0,925.0,139.0,132.0,507.0,1929.0,27.0,993.0,152.0,96.0,37.0,38.0,570.0,665.0,109.0,31.0,57.0,9.0,104.0,1883.0,532.0,2903.0
2006-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,719.0,502.0,13.0,67.0,1035.0,137.0,113.0,498.0,2110.0,36.0,1121.0,163.0,91.0,27.0,40.0,610.0,706.0,131.0,34.0,65.0,15.0,84.0,1870.0,572.0,3012.0
2006-05-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,679.0,527.0,19.0,82.0,902.0,123.0,121.0,453.0,1982.0,22.0,1121.0,157.0,77.0,27.0,31.0,625.0,618.0,133.0,39.0,60.0,5.0,84.0,1952.0,494.0,2964.0
2006-06-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,696.0,456.0,15.0,75.0,895.0,157.0,99.0,463.0,2060.0,24.0,1050.0,131.0,86.0,31.0,30.0,611.0,656.0,130.0,36.0,52.0,11.0,93.0,2160.0,511.0,2912.0
2006-06-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,702.0,471.0,34.0,64.0,857.0,144.0,134.0,470.0,1897.0,47.0,1074.0,127.0,84.0,27.0,26.0,621.0,622.0,124.0,38.0,56.0,13.0,97.0,2270.0,551.0,2896.0
2006-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,677.0,491.0,18.0,73.0,927.0,150.0,118.0,492.0,2013.0,25.0,1137.0,131.0,104.0,26.0,21.0,512.0,629.0,101.0,33.0,54.0,10.0,111.0,2502.0,506.0,2800.0
2006-06-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,752.0,478.0,26.0,85.0,900.0,171.0,95.0,471.0,2067.0,24.0,1119.0,140.0,80.0,23.0,31.0,560.0,650.0,111.0,27.0,42.0,14.0,100.0,2892.0,519.0,2873.0
2006-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,707.0,514.0,21.0,84.0,1004.0,173.0,110.0,445.0,2233.0,41.0,1160.0,138.0,104.0,23.0,32.0,606.0,637.0,138.0,33.0,46.0,8.0,82.0,2920.0,486.0,3056.0
2006-07-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,656.0,482.0,15.0,68.0,938.0,157.0,125.0,505.0,2233.0,26.0,1049.0,117.0,115.0,23.0,40.0,584.0,649.0,118.0,34.0,28.0,17.0,84.0,2292.0,523.0,3069.0
2006-07-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,721.0,414.0,4.0,72.0,901.0,149.0,131.0,411.0,2056.0,25.0,1051.0,136.0,85.0,23.0,24.0,572.0,668.0,121.0,36.0,38.0,10.0,53.0,1742.0,482.0,3071.0
2006-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,710.0,444.0,10.0,87.0,970.0,134.0,144.0,485.0,2147.0,21.0,1085.0,140.0,98.0,26.0,23.0,592.0,619.0,107.0,24.0,47.0,6.0,79.0,1546.0,514.0,3076.0
2006-07-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,663.0,450.0,6.0,68.0,881.0,128.0,178.0,492.0,2113.0,44.0,989.0,130.0,68.0,26.0,28.0,502.0,612.0,118.0,32.0,45.0,10.0,83.0,1557.0,483.0,3112.0
2006-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,654.0,391.0,2.0,69.0,970.0,135.0,136.0,465.0,2057.0,43.0,1018.0,131.0,82.0,30.0,29.0,511.0,615.0,130.0,23.0,56.0,13.0,68.0,1578.0,502.0,3166.0
2006-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,645.0,422.0,3.0,69.0,935.0,128.0,152.0,475.0,1949.0,30.0,1101.0,110.0,101.0,24.0,25.0,576.0,642.0,125.0,25.0,50.0,5.0,72.0,1613.0,513.0,3232.0
2006-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,664.0,423.0,4.0,71.0,925.0,120.0,123.0,438.0,2013.0,33.0,1063.0,122.0,90.0,27.0,29.0,536.0,647.0,125.0,31.0,44.0,7.0,79.0,1496.0,478.0,3184.0
2006-08-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,648.0,425.0,5.0,70.0,908.0,133.0,139.0,458.0,1960.0,43.0,991.0,134.0,95.0,26.0,33.0,559.0,653.0,145.0,27.0,52.0,6.0,59.0,1488.0,504.0,3198.0
2006-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,594.0,400.0,5.0,69.0,935.0,131.0,131.0,449.0,1943.0,36.0,967.0,147.0,101.0,29.0,37.0,555.0,638.0,137.0,22.0,45.0,12.0,76.0,1391.0,472.0,3120.0
2006-09-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,670.0,440.0,6.0,93.0,971.0,147.0,163.0,449.0,2016.0,38.0,927.0,128.0,95.0,24.0,30.0,578.0,574.0,116.0,34.0,48.0,10.0,66.0,1414.0,501.0,3008.0
2006-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,736.0,381.0,5.0,77.0,1034.0,122.0,96.0,461.0,2057.0,32.0,1155.0,118.0,92.0,28.0,46.0,570.0,571.0,109.0,22.0,48.0,12.0,69.0,1349.0,473.0,2990.0
2006-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,687.0,439.0,4.0,68.0,1124.0,129.0,104.0,468.0,2093.0,26.0,1221.0,137.0,102.0,27.0,36.0,579.0,634.0,115.0,38.0,44.0,8.0,68.0,1393.0,474.0,3049.0
2006-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,597.0,476.0,6.0,78.0,1047.0,136.0,95.0,488.0,2027.0,25.0,1121.0,133.0,81.0,39.0,33.0,546.0,605.0,137.0,23.0,47.0,15.0,71.0,1324.0,528.0,3073.0
2006-10-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,657.0,467.0,4.0,64.0,1091.0,116.0,118.0,502.0,2042.0,41.0,1256.0,119.0,83.0,27.0,39.0,538.0,594.0,125.0,29.0,47.0,13.0,73.0,1426.0,481.0,2888.0
2006-10-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,665.0,525.0,6.0,82.0,1025.0,140.0,169.0,484.0,2054.0,38.0,1267.0,145.0,71.0,29.0,30.0,564.0,556.0,113.0,35.0,53.0,11.0,90.0,1500.0,528.0,3055.0
2006-10-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,629.0,493.0,5.0,79.0,970.0,134.0,86.0,432.0,2007.0,41.0,1061.0,144.0,67.0,26.0,19.0,501.0,571.0,127.0,36.0,47.0,9.0,100.0,1469.0,512.0,2859.0
2006-10-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,651.0,468.0,2.0,66.0,1067.0,131.0,119.0,478.0,1939.0,32.0,1065.0,118.0,98.0,23.0,31.0,509.0,579.0,122.0,29.0,57.0,5.0,104.0,1362.0,517.0,2955.0
2006-11-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,715.0,449.0,5.0,86.0,1094.0,138.0,128.0,469.0,1940.0,26.0,1031.0,133.0,82.0,21.0,37.0,775.0,648.0,125.0,38.0,45.0,7.0,82.0,1326.0,505.0,2808.0
2006-11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,706.0,473.0,5.0,78.0,1098.0,153.0,117.0,487.0,1889.0,53.0,922.0,145.0,84.0,24.0,26.0,711.0,635.0,145.0,35.0,54.0,14.0,69.0,1370.0,497.0,2927.0
2006-11-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,679.0,474.0,3.0,61.0,1026.0,149.0,150.0,479.0,1994.0,34.0,1126.0,155.0,74.0,23.0,21.0,672.0,695.0,113.0,40.0,53.0,11.0,74.0,1458.0,486.0,2972.0
2006-11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,720.0,439.0,3.0,90.0,1095.0,155.0,136.0,477.0,1917.0,30.0,1183.0,153.0,73.0,18.0,24.0,620.0,662.0,113.0,23.0,65.0,13.0,81.0,1462.0,519.0,3131.0
2006-12-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,683.0,459.0,6.0,76.0,1165.0,149.0,140.0,453.0,1934.0,30.0,1208.0,147.0,88.0,32.0,28.0,577.0,651.0,113.0,29.0,38.0,10.0,67.0,1403.0,500.0,3044.0
2006-12-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,694.0,451.0,3.0,89.0,1197.0,174.0,147.0,483.0,1987.0,42.0,1258.0,142.0,68.0,23.0,21.0,599.0,657.0,143.0,33.0,56.0,11.0,68.0,1468.0,514.0,3130.0
2006-12-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,691.0,417.0,5.0,70.0,1098.0,156.0,113.0,494.0,2063.0,34.0,1352.0,142.0,87.0,30.0,34.0,542.0,633.0,153.0,44.0,50.0,8.0,57.0,1306.0,482.0,3006.0
2006-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,672.0,371.0,8.0,77.0,1026.0,139.0,112.0,418.0,1776.0,27.0,1324.0,131.0,83.0,18.0,48.0,507.0,637.0,125.0,24.0,53.0,12.0,60.0,1256.0,502.0,2971.0
2006-12-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,646.0,447.0,2.0,69.0,1106.0,149.0,148.0,494.0,1809.0,35.0,1573.0,150.0,91.0,24.0,37.0,547.0,695.0,117.0,28.0,56.0,11.0,109.0,1635.0,512.0,3068.0
2007-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,670.0,549.0,7.0,73.0,1411.0,164.0,135.0,511.0,2101.0,43.0,1556.0,180.0,73.0,33.0,50.0,608.0,686.0,144.0,30.0,67.0,13.0,140.0,1862.0,636.0,3288.0
2007-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,674.0,518.0,8.0,83.0,1262.0,169.0,127.0,440.0,2127.0,32.0,1156.0,156.0,95.0,31.0,50.0,605.0,628.0,144.0,35.0,49.0,6.0,70.0,1639.0,488.0,3134.0
2007-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,722.0,533.0,6.0,75.0,1251.0,141.0,113.0,465.0,2070.0,45.0,1143.0,161.0,84.0,26.0,60.0,539.0,608.0,128.0,26.0,54.0,15.0,65.0,1835.0,519.0,3103.0
2007-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,693.0,546.0,3.0,68.0,1205.0,154.0,147.0,452.0,2203.0,32.0,1142.0,161.0,81.0,20.0,48.0,609.0,628.0,103.0,24.0,45.0,15.0,64.0,2038.0,591.0,3222.0
2007-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711.0,594.0,4.0,74.0,1124.0,129.0,95.0,407.0,1991.0,27.0,1038.0,146.0,91.0,35.0,58.0,565.0,605.0,386.0,27.0,59.0,10.0,88.0,2198.0,514.0,3263.0
2007-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,707.0,528.0,9.0,84.0,1125.0,164.0,68.0,477.0,2178.0,17.0,867.0,185.0,93.0,24.0,50.0,542.0,576.0,106.0,27.0,56.0,10.0,58.0,2171.0,538.0,3464.0
2007-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,694.0,482.0,7.0,87.0,967.0,144.0,65.0,456.0,2033.0,22.0,883.0,170.0,59.0,23.0,45.0,504.0,604.0,99.0,26.0,61.0,15.0,80.0,2021.0,502.0,3356.0
2007-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,716.0,573.0,6.0,93.0,1173.0,188.0,71.0,505.0,2212.0,18.0,1116.0,163.0,102.0,24.0,49.0,618.0,663.0,88.0,39.0,98.0,18.0,158.0,2669.0,690.0,3103.0
2007-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,752.0,484.0,8.0,67.0,1128.0,177.0,105.0,489.0,2135.0,14.0,907.0,170.0,85.0,16.0,41.0,588.0,599.0,116.0,29.0,64.0,6.0,71.0,2069.0,548.0,3131.0
2007-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,732.0,528.0,4.0,85.0,1090.0,165.0,137.0,496.0,2231.0,39.0,1028.0,202.0,100.0,37.0,73.0,641.0,567.0,123.0,25.0,65.0,20.0,71.0,2173.0,498.0,3355.0
2007-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,683.0,545.0,15.0,72.0,1044.0,171.0,142.0,478.0,2260.0,30.0,950.0,169.0,80.0,32.0,38.0,680.0,629.0,120.0,45.0,55.0,16.0,73.0,2242.0,500.0,3157.0
2007-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,701.0,441.0,9.0,72.0,1045.0,147.0,146.0,472.0,2321.0,40.0,893.0,140.0,80.0,27.0,52.0,606.0,636.0,137.0,41.0,48.0,17.0,71.0,2094.0,538.0,3179.0
2007-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,685.0,509.0,14.0,79.0,1054.0,157.0,160.0,474.0,2266.0,34.0,888.0,180.0,84.0,32.0,57.0,577.0,599.0,121.0,34.0,52.0,11.0,78.0,2090.0,531.0,3253.0
2007-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,679.0,490.0,10.0,51.0,1114.0,144.0,123.0,526.0,2163.0,48.0,1013.0,173.0,83.0,26.0,61.0,642.0,614.0,94.0,34.0,53.0,17.0,78.0,2173.0,564.0,3087.0
2007-04-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,773.0,486.0,10.0,76.0,1111.0,189.0,156.0,505.0,2277.0,32.0,969.0,150.0,79.0,26.0,46.0,599.0,618.0,117.0,49.0,59.0,13.0,75.0,2097.0,529.0,3251.0
2007-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,722.0,455.0,5.0,78.0,1137.0,151.0,161.0,500.0,2399.0,36.0,1025.0,150.0,94.0,27.0,63.0,600.0,619.0,138.0,31.0,63.0,16.0,83.0,2527.0,533.0,3158.0
2007-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,697.0,524.0,11.0,65.0,1077.0,149.0,159.0,503.0,2340.0,44.0,1022.0,182.0,90.0,20.0,59.0,599.0,627.0,121.0,37.0,50.0,16.0,66.0,2574.0,528.0,3313.0
